Game,Opponent,Agent Wins vs This Opponent,Games vs This Opponent,Win Rate vs This Opponent (%),Total Agent Wins,Total Games,Overall Win Rate (%)
1,AllIn,1,1,100.00,1,1,100.00
2,AllIn,1,2,50.00,1,2,50.00
3,AllIn,2,3,66.67,2,3,66.67
4,AllIn,3,4,75.00,3,4,75.00
5,AllIn,3,5,60.00,3,5,60.00
6,AllIn,3,6,50.00,3,6,50.00
7,AllIn,4,7,57.14,4,7,57.14
8,AllIn,5,8,62.50,5,8,62.50
9,AllIn,6,9,66.67,6,9,66.67
10,AllIn,6,10,60.00,6,10,60.00
11,AllIn,6,11,54.55,6,11,54.55
12,AllIn,7,12,58.33,7,12,58.33
13,AllIn,8,13,61.54,8,13,61.54
14,AllIn,9,14,64.29,9,14,64.29
15,AllIn,9,15,60.00,9,15,60.00
16,AllIn,9,16,56.25,9,16,56.25
17,AllIn,10,17,58.82,10,17,58.82
18,AllIn,11,18,61.11,11,18,61.11
19,AllIn,11,19,57.89,11,19,57.89
20,AllIn,12,20,60.00,12,20,60.00
21,AllIn,13,21,61.90,13,21,61.90
22,AllIn,13,22,59.09,13,22,59.09
23,AllIn,13,23,56.52,13,23,56.52
24,AllIn,14,24,58.33,14,24,58.33
25,AllIn,14,25,56.00,14,25,56.00
